feature,importance
oferta_boa_demais,0.18170255174155667
remetente_suspeito,0.0744046169935075
formatacao_estranha,0.06752502628860586
dominio_suspeito,0.03372805354071039
conteudo_emocional,0.031243898535827885
email_nao_solicitado,0.02866736487973064
senso_urgencia_medo,0.026764971503710187
erros_gramaticais,0.02046305339060374
links_suspeitos,0.017908289695550007
contato_ausente_ou_inconsistente,0.015530543909994244
saudacao_generica,0.009329881760038846
historias_elaboradas,0.00883423170056348
solicitacao_dados_sensiveis,0.007698566490996525
anexos_suspeitos,0.004523000253797673
botoes_enganosos,0.002209202696913467
endereco_resposta_diferente,0.0005480980859427395
personalizacao_excessiva,0.00033051149039213556
